cited,cites
W1001370459,W1005007408
W1001370459,W1019830208
W1001370459,W1026348989
W1001370459,W1031578623
W1001370459,W103650626
W1019830208,W2096682311
W1019830208,W2050876420
W1019830208,W2081334206
W1019830208,W2055595553
W103650626,W1533942137
W103650626,W1595679721
W103650626,W1005007408
W103650626,W1483105054
W103650626,W1484347389
W103650626,W1977601452
W103650626,W2003645630
W103650626,W1905429483
W2096682311,W1617328014
W2096682311,W2050785507
W2096682311,W2014952121
W2096682311,W2001510610
W2096682311,W1001370459
W2096682311,W2050869737
W2050876420,W1001370459
W2081334206,W2050785507
W2055595553,W2035503835
W2055595553,W2049468624
W2055595553,W1595679721
W1533942137,W1484347389
W1533942137,W1482867610
W1483105054,W1582252665
W1483105054,W1584883541
W1483105054,W1585881858
W1483105054,W1482867610
W1483105054,W1585939719
W1483105054,W1587094587
W1483105054,W1587875569
W1483105054,W1588685142
W1483105054,W1588827410
W1483105054,W1589608052
W1483105054,W1590065089
W1483105054,W1591013228
W1483105054,W1592674309
W1483105054,W103650626
W1483105054,W1026348989
W1483105054,W1001370459
W1483105054,W1593885540
W1483105054,W1525197209
W1483105054,W1594032928
W1483105054,W1595679721
W1483105054,W1596515083
W1484347389,W1485504984
W1484347389,W1483167997
W1484347389,W103650626
W1977601452,W179875071
W1977601452,W1525197209
W1977601452,W1525882651
W2003645630,W1970090817
W2003645630,W1577941315
W2003645630,W1968862760
W2003645630,W179875071
W104184427,W1107917109
W1107917109,W1480553355
W1107917109,W2936802452
W1107917109,W104184427
W1107917109,W2021172010
W1107917109,W2160796815
W1107917109,W2010417927
W1480553355,W104184427
W1480553355,W1107917109
W1480553355,W1482190741
W2936802452,W1709815505
W2936802452,W2981164368
W2936802452,W1567420244
W2936802452,W2021172010
W2936802452,W3003217347
W2021172010,W2021245278
W2021172010,W1482190741
W2021172010,W1625255723
W2021172010,W104184427
W2021172010,W1989763926
W2021172010,W1567420244
W2021172010,W2021350270
W2021172010,W1107917109
W2021172010,W2021403769
W2021172010,W1989589910
W2021172010,W1989668498
W2160796815,W2010417927
W2160796815,W2034562813
W2160796815,W2014704298
W2160796815,W2034672914
W2160796815,W2075294566
W2160796815,W2039469634
W2010417927,W2010457001
W2010417927,W2010516376
W2010417927,W2010560237
W111650437,W113044168
W111650437,W115183765
W113044168,W1966272358
W1966272358,W1505543708
W1160326939,W1182682356
W1160326939,W1196712433
W1182682356,W1498057507
W1196712433,W1160326939
W1204404493,W1214056855
W1247968195,W1255676896
W1255676896,W1247968195
W136628441,W1444168786
W147232447,W1476478267
W1482867610,W1483105054
W1482867610,W1483167997
W1483167997,W1484347389
W1483167997,W1482867610
W1582252665,W1584883541
W1582252665,W1585881858
W1582252665,W2077660521
W1582252665,W2067857092
W1582252665,W2050869737
W1582252665,W2050785507
W1582252665,W1483105054
W1582252665,W2043007983
W1584883541,W1585881858
W1584883541,W2067857092
W1584883541,W1001370459
W1584883541,W2072053289
W1584883541,W2096870307
W1584883541,W2050160040
W1584883541,W2057545775
W1584883541,W1617328014
W1585881858,W1483105054
W1585881858,W2043007983
W1588827410,W1749494163
W1588827410,W1589608052
W1589608052,W1483105054
W1589608052,W1585939719
W1591013228,W1992652001
W1593885540,W1588827410
W1593885540,W1982133696
W1525197209,W1525882651
W1594032928,W1484347389
W1594032928,W1005007408
W1594032928,W1555252427
W1594032928,W1914118524
W1594032928,W2104005232
W1485504984,W1005007408
W1485504984,W1555252427
W1485504984,W2102625004
W1485504984,W1031578623
W1485504984,W1026348989
W1485504984,W103650626
W1555252427,W1005007408
W1555252427,W2102304447
W2102625004,W1005007408
W2102625004,W1555252427
W1485916023,W1486722793
W1487531252,W1487727533
W1487531252,W1488616880
W1487727533,W1487531252
W1489109817,W1490161904
W1490482062,W1492586516
W1494075612,W1494198834
W1494198834,W1498027297
W1494198834,W1494075612
W1496684753,W1497789111
W1497843627,W1497947649
W1498931318,W1499256377
W1499500424,W1500693574
W1499500424,W1501241011
W1501241011,W1499500424
W1501241011,W1848939527
W1501241011,W1500693574
W1848939527,W1499500424
W1848939527,W1990170643
