Node ID,Year 0 (Deviation Score), Year 0 (Is Anomaly),Year 1 (Deviation Score), Year 1 (Is Anomaly),Year 2 (Deviation Score), Year 2 (Is Anomaly),Year 3 (Deviation Score), Year 3 (Is Anomaly),Year 4 (Deviation Score), Year 4 (Is Anomaly),Mean Deviation Score,Anomaly Status Churn
0,2.872072158381343,1,0.13109408846745887,0,0.13109409265841046,0,2.9062528554350138,1,2.8703068426499763,1,1.7821640075184404,1
1,0.11592453780273597,0,0.14331788088505468,0,0.1433178880251944,0,0.11809295912583669,0,0.08278583362698555,0,0.12068781989316146,0
2,0.11905099044088274,0,0.13109050132334232,0,0.13109050846348205,0,0.11729698938628037,0,0.1223452369061609,0,0.12417484530402967,0
3,0.05093222546080748,0,0.14331779070198536,0,0.14331779101242623,0,0.07519618235528469,0,0.06355367973446846,0,0.09526353385299444,0
4,0.05725736046830813,0,0.1433178143731008,0,0.14331781406265995,0,0.04703904502093792,0,0.05399698267380396,0,0.08898580331976215,0
5,1.3139679071803887,1,1.3139679400871198,1,1.3139679326365392,1,1.31396786061426,1,1.3139678941418726,1,1.313967906932036,0
6,0.3716956954449415,1,0.11123646493069828,0,0.11123646493069828,0,0.3893015403300524,1,0.3716956954449415,1,0.2710331722162664,1
7,0.05245456596215566,0,0.13108966359868646,0,0.13108966359868646,0,0.0788373313844204,0,0.05726802349090576,0,0.09014784960697095,0
8,0.982381065065662,1,6.159406036604196,1,0.13869341757769385,0,0.982381065065662,1,0.982381065065662,1,1.849048529875775,1
9,0.08976186377306779,0,0.11123646430981655,0,0.11123646430981655,0,0.11625678651034832,0,0.08976186377306779,0,0.10365068853522341,0
10,0.15804638527333736,0,0.14331739279441535,0,0.14331739279441535,0,0.15804638527333736,0,0.15804638527333736,0,0.15215478828176857,0
11,0.13173340478291115,0,0.13869524716089168,0,0.13869525461147228,0,0.13012503266024092,0,0.13439527759328485,0,0.13472884336176016,0
12,0.08832988647433619,0,0.11123698491913576,0,0.1112369872474422,0,0.07848002016544342,0,0.06970337312668562,0,0.09179745038660864,0
